name,short_description,description,ne_description,brand,model_number,sku,weight_net,msrp,price,ne_item_descriptoin,name_long,feature,product_type,subcategory,ne_subcategory_by_code,manufacturer,manufacturer_code,ne_manufacturer_part,upc_number,length,width,height,weight,ne_length_cm,ne_width_cm,ne_height_cm,ne_package_weight_kg,oem,country_of_manufacture,mfrproductpagelink,restricted_item_mark,orm_d,msds_sheet,warning,return_policy,ne_part_warranty,ne_rma_refund_day,ne_rma_replacement_day,ne_labor_warranty,website_subcategory,ne_website_subcateogory_code,ne_ws_subcategory,ne_buyer,ne_merchandiser,large_flag,ewra,ne_product_specifications,attribute_set
Rosewill RCNC-12051 - 7-Foot Red Cat 6A Screened Shielded Twisted Pair (S/STP) Enhanced 550MHz Networking Cable                                                                                                                               ,,,,Rosewill                                ,RCNC-12051          ,12-119-539               ,0.17,6.99,0,CABLE ROSEWILL | RCNC-12051 RT     ,Rosewill RCNC-12051 - 7-Foot Red Cat 6A Screened Shielded Twisted Pair (S / STP) Enhanced 550MHz Networking Cable                                                                                                                               ,"Enhanced 550MHz Networking Cable  Screened, Shielded Twisted Pair (S / STP)   Cat 6A   7 Feet Long   Red                                                                                                ",Normal Item,Cables - Network Ethernet Cables                            ,2823,Rosewill                                ,2177,RCNC-12051          ,898745060768,6.8,4.95,0.9,0.17,17.27,12.57,2.29,0.0771,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",59,Computer Cables and Accessories Extended Return Policy,45,365,365,365,2825,Cables - Network Ethernet Cables,Howard.C.Lin        ,Melissa.J.Huang     ,S,,,b20_network-ethernet-cables
Rosewill RCNC-12052 - 10-Foot Red Cat 6A Screened Shielded Twisted Pair (S/STP) Enhanced 550MHz Networking Cable                                                                                                                              ,,,,Rosewill                                ,RCNC-12052          ,12-119-540               ,0.18,5.99,0,CABLE ROSEWILL | RCNC-12052 RT     ,Rosewill RCNC-12052 - 10-Foot Red Cat 6A Screened Shielded Twisted Pair (S / STP) Enhanced 550MHz Networking Cable                                                                                                                              ,"Enhanced 550MHz Networking Cable  Screened, Shielded Twisted Pair (S / STP)   Cat 6A   10 Feet Long   Red                                                                                               ",Normal Item,Cables - Network Ethernet Cables                            ,2823,Rosewill                                ,2177,RCNC-12052          ,898745060775,7.15,5.4,1.75,0.18,18.161,13.716,4.445,0.08164656,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",59,Computer Cables and Accessories Extended Return Policy,45,365,365,365,2825,Cables - Network Ethernet Cables,Howard.C.Lin        ,Melissa.J.Huang     ,S,,,b20_network-ethernet-cables
Rosewill RCNC-12053 - 15-Foot Red Cat 6A Screened Shielded Twisted Pair (S/STP) Enhanced 550MHz Networking Cable                                                                                                                              ,,,,Rosewill                                ,RCNC-12053          ,12-119-541               ,0.29,6.99,0,CABLE ROSEWILL | RCNC-12053 RT     ,Rosewill RCNC-12053 - 15-Foot Red Cat 6A Screened Shielded Twisted Pair (S / STP) Enhanced 550MHz Networking Cable                                                                                                                              ,"Enhanced 550MHz Networking Cable  Screened, Shielded Twisted Pair (S / STP)   Cat 6A   15 Feet Long   Red                                                                                               ",Normal Item,Cables - Network Ethernet Cables                            ,2823,Rosewill                                ,2177,RCNC-12053          ,898745060782,6.9,5.7,0.9,0.29,17.53,14.48,2.29,0.1315,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",59,Computer Cables and Accessories Extended Return Policy,45,365,365,365,2825,Cables - Network Ethernet Cables,Howard.C.Lin        ,Melissa.J.Huang     ,S,,,b20_network-ethernet-cables
Rosewill RCNC-12054 - 25-Foot Red Cat 6A Screened Shielded Twisted Pair (S/STP) Enhanced 550MHz Networking Cable                                                                                                                              ,,,,Rosewill                                ,RCNC-12054          ,12-119-542               ,0.6,10.99,0,CABLE ROSEWILL | RCNC-12054 RT     ,Rosewill RCNC-12054 - 25-Foot Red Cat 6A Screened Shielded Twisted Pair (S / STP) Enhanced 550MHz Networking Cable                                                                                                                              ,"Enhanced 550MHz Networking Cable  Screened, Shielded Twisted Pair (S / STP)   Cat 6A   25 Feet Long   Red                                                                                               ",Normal Item,Cables - Network Ethernet Cables                            ,2823,Rosewill                                ,2177,RCNC-12054          ,898745060799,10.9,6.35,0.9,0.6,27.69,16.13,2.29,0.2722,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",59,Computer Cables and Accessories Extended Return Policy,45,365,365,365,2825,Cables - Network Ethernet Cables,Howard.C.Lin        ,Melissa.J.Huang     ,S,,,b20_network-ethernet-cables
Rosewill RCNC-12055 - 50-Foot Red Cat 6A Screened Shielded Twisted Pair (S/STP) Enhanced 550MHz Networking Cable                                                                                                                              ,,,,Rosewill                                ,RCNC-12055          ,12-119-543               ,1.29,14.99,0,CABLE ROSEWILL | RCNC-12055 RT     ,Rosewill RCNC-12055 - 50-Foot Red Cat 6A Screened Shielded Twisted Pair (S / STP) Enhanced 550MHz Networking Cable                                                                                                                              ,"Enhanced 550MHz Networking Cable  Screened, Shielded Twisted Pair (S / STP)   Cat 6A   50 Feet Long   Red                                                                                               ",Normal Item,Cables - Network Ethernet Cables                            ,2823,Rosewill                                ,2177,RCNC-12055          ,898745060805,9.85,9.15,0.9,1.29,25.02,23.24,2.29,0.5851,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",59,Computer Cables and Accessories Extended Return Policy,45,365,365,365,2825,Cables - Network Ethernet Cables,Howard.C.Lin        ,Melissa.J.Huang     ,S,,,b20_network-ethernet-cables
"Rosewill RCNC-12062 - 1000-Foot Cat 6 Black, Plenum Jacket (CMP) Network Cable - 23 AWG                                                                                                                                                         ",,,,Rosewill                                ,RCNC-12062          ,12-119-552               ,35.75,249.99,50,NW CABLE ROSEWILL|RCNC-12062 R     ,"Rosewill RCNC-12062 - 1000-Foot Cat 6 Black, Plenum Jacket (CMP) Network Cable - 23 AWG                                                                                                                                                         ",Plenum Jacket (CMP) Networking Cable   1000 Feet Long   23 AWG Cat 6   Black                                                                                                                            ,Normal Item,Cables - Network Ethernet Cables                            ,2823,Rosewill                                ,2177,RCNC-12062          ,898745063240,15.8,15.5,0.9,35.75,40.13,39.37,2.29,16.2159,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",59,Computer Cables and Accessories Extended Return Policy,45,365,365,365,2825,Cables - Network Ethernet Cables,Howard.C.Lin        ,Melissa.J.Huang     ,L,,,b20_network-ethernet-cables
Rosewill RCNC-12063 - 1000-Foot Blue Cat 6 Plenum Jacket (CMP) Networking Cable - 23 AWG                                                                                                                                                      ,,,,Rosewill                                ,RCNC-12063          ,12-119-553               ,36.35,249.99,50,NW CABLE ROSEWILL|RCNC-12063 R     ,"Rosewill RCNC-12063 - 1000-Foot Cat 6, Blue, Plenum Jacket (CMP) Networking Cable - 23 AWG                                                                                                                                                      ",Plenum Jacket (CMP) Networking Cable   1000 Feet Long   23 AWG Cat 6   Blue                                                                                                                             ,Normal Item,Cables - Network Ethernet Cables                            ,2823,Rosewill                                ,2177,RCNC-12063          ,898745063257,15.75,15.5,0.9,36.35,40.01,39.37,2.29,16.4881,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",59,Computer Cables and Accessories Extended Return Policy,45,365,365,365,2825,Cables - Network Ethernet Cables,Howard.C.Lin        ,Melissa.J.Huang     ,L,,,b20_network-ethernet-cables
Rosewill RCNC-12064 - 1000-Foot Gray Cat 6 Plenum Jacket (CMP) Networking Cable - 23 AWG                                                                                                                                                          ,,,,Rosewill                                ,RCNC-12064          ,12-119-554               ,32.5,249.99,50,NW CABLE ROSEWILL|RCNC-12064 R     ,Rosewill RCNC-12064 1000-Foot Gray Cat 6 Plenum Jacket (CMP) Networking Cable - 23 AWG                                                                                                                                                          ,Plenum Jacket (CMP) Networking Cable   1000 Feet Long   23 AWG Cat 6   Gray                                                                                                                             ,Normal Item,Cables - Network Ethernet Cables                            ,2823,Rosewill                                ,2177,RCNC-12064          ,898745063264,15.9,15.5,0.9,32.5,40.39,39.37,2.29,14.7418,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",59,Computer Cables and Accessories Extended Return Policy,45,365,365,365,2825,Cables - Network Ethernet Cables,Howard.C.Lin        ,Melissa.J.Huang     ,L,,,b20_network-ethernet-cables
Rosewill RCNC-12065 - 1000-Foot White Cat 6 Plenum Jacket (CMP) Networking Cable - 23 AWG         ,,,,Rosewill                                ,RCNC-12065          ,12-119-555               ,33.4,249.99,70,NW CABLE ROSEWILL|RCNC-12065 R     ,Rosewill RCNC-12065 1000-Foot White Plenum Jacket (CMP) Networking Cable - 23 AWG                                                                                                                                                               ,Rated up to 400 MHz to Provide Superior Performance   Length: 1000 ft.  Shielded: No                                                                                                                    ,Normal Item,Cables - Network Ethernet Cables                            ,2823,Rosewill                                ,2177,RCNC-12065          ,898745063271,15.9,15.4,0.9,33.4,40.39,39.12,2.29,15.15,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",59,Computer Cables and Accessories Extended Return Policy,45,365,365,365,2825,Cables - Network Ethernet Cables,Howard.C.Lin        ,Melissa.J.Huang     ,L,,,b20_network-ethernet-cables
"Rosewill RHSP-13001 - Electricity Load Meter and Energy Monitor with Controllable On/Off Outlet, 360-Joule Surge Protection, and Protected LED Indicator                                                                                          ",,,,Rosewill                                ,RHSP-13001          ,12-119-560               ,0.42,29.99,10,HE ACC ROSEWILL | RHSP-13001 RT    ,Rosewill RHSP-13001 - 360-Joule Surge Protection Electricity Load Meter and Energy Monitor with Controllable On/Off Outlet and Protected LED Indicator                                                                                          ,1 On/Off Controllable Outlet  360J Surge Protection   Green Protected LED Indicator                                                                                                                     ,Normal Item,Home Electronics Accessories                                ,495,Rosewill                                ,2177,RHSP-13001          ,898745067408,9.8,6.3,2.7,0.42,24.892,16.002,6.858,0.19050864,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",44,Standard Return Policy,30,30,365,365,495,Home Electronics Accessories,Edna.W.Tsung        ,Edna.W.Tsung        ,S,,,b60_surge-suppressors
Rosewill RHSP-13002 - 3-Outlet Wall Mounted Surge Protector - Two 2.1A USB Charging Ports ,,,,Rosewill                                ,RHSP-13002          ,12-119-561               ,0.55,24.99,15,SURGE PRTT ROSEWILL | RHSP-13002 R ,Rosewill RHSP-13002 - Wall Mounted Surge Protector - 3 Outlets - 2-Port 2.1A USB Charger                                                                                                                                                        ,"$10,000 Connected Equipment Warranty  3 Outlets Surge Protection  Wall Tap Style   2-port 2.1A USB Charger   1800 Watts                                                                                 ",Normal Item,Surge Suppressors                                           ,535,Rosewill                                ,2177,RHSP-13002          ,898745067415,8.45,6.95,2.3,0.55,21.463,17.653,5.842,0.2494756,N,CHN,http://www.rosewill.com/products/2747/ProductDetail_Overview.htm                                                                                                                                        ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",44,Standard Return Policy,30,30,365,365,535,Surge Suppressors,Daniel.J.Cheung     ,Jaylun.J.Wang       ,S,,,b60_surge-suppressors
"Rosewill RHSP-13003 - Slim, 10-Outlet Surge Blocking, Fireproof Power Surge Protector - Up to 2880 Joules / 40dB Protection, Telephone / DSL and TV / Cable Line Protection                                                                 ",,,,Rosewill                                ,RHSP-13003          ,12-119-562               ,2.21,29.99,8,HE ACC ROSEWILL | RHSP-13003 R     ,"Rosewill RHSP-13003 - Slim, 10-Outlet Surge Blocking, Fireproof Power Surge Protector ¨C Up to 2880 Joules / 40dB Protection, and Telephone / DSL and TV / Cable Line Protection                                                                 ",10 Outlets surge protection   Slim surge block type   2880 Joules / 40dB                                                                                                                                ,Normal Item,Home Electronics Accessories                                ,495,Rosewill                                ,2177,RHSP-13003          ,898745067422,14.05,8.8,1.75,2.21,35.687,22.352,4.445,1.00243832,N,CHN,http://www.rosewill.com/products/2741/ProductDetail_Overview.htm                                                                                                                                        ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",44,Standard Return Policy,30,30,365,365,495,Home Electronics Accessories,Edna.W.Tsung        ,Edna.W.Tsung        ,S,,,b60_surge-suppressors
"Rosewill RHSP-13004 - Slim, 12-Outlet Fireproof Power Surge Protector with 2-Port 2.1A USB Charger and LED Protection Status Indicator - Up to 4320 Joules / 58dB Protection                                                                    ",,,,Rosewill                                ,RHSP-13004          ,12-119-563               ,2.32,39.99,13,HE ACC ROSEWILL | RHSP-13004 R     ,"Rosewill RHSP-13004 - Slim, 12-Outlet Fireproof Power Surge Protector with 2-Port 2.1A USB Charger and LED Protection Status Indicator - Up to 4320 Joules / 58dB Protection                                                                    ",12 Outlets Surge Protection   Slim surge block type   4320 Joules / 58dB                                                                                                                                ,Normal Item,Home Electronics Accessories                                ,495,Rosewill                                ,2177,RHSP-13004          ,898745067446,14.7,8.2,2,2.32,37.338,20.828,5.08,1.05233344,N,CHN,http://www.rosewill.com/products/2742/ProductDetail_Overview.htm                                                                                                                                        ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",44,Standard Return Policy,30,30,365,365,495,Home Electronics Accessories,Edna.W.Tsung        ,Edna.W.Tsung        ,S,,,b60_surge-suppressors
"Rosewill RHSP-13005 - Slim, 6-Outlet Power Strip, 2-in-1 On / Off Rocker Switch, Green Surge Protected, LED Indicator",,,,Rosewill                                ,RHSP-13005          ,12-119-564               ,1.02,19.99,10,SURGE SUPPR ROSEWILL| RHSP-13005 R ,"Rosewill RHSP-13005 - Slim Power Strip - 6-Outlet, 2-in-1 On / Off Rocker Switch, Green Surge Protected, LED Indicator                                                                                                                          ","Slim Power Strip  6-Outlets with 2-in-1 On / Off Rocker Switch,   Surge Protected  LED Indicator                                                                                                        ",Normal Item,Surge Suppressors                                           ,535,Rosewill                                ,2177,RHSP-13005          ,898745069853,13.25,5.6,2.5,1.02,33.655,14.224,6.35,0.46266384,N,CHN,http://www.rosewill.com/products/2748/ProductDetail_Overview.htm                                                                                                                                        ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",44,Standard Return Policy,30,30,365,365,535,Surge Suppressors,Daniel.J.Cheung     ,Jaylun.J.Wang       ,S,,,b60_surge-suppressors
"Rosewill RHSP-13006 - Premium 4320 Joules Rotating Outlet Power Surge Protector with RJ11 and Coax Protection, Black",,,,Rosewill                                ,RHSP-13006          ,12-119-565               ,2.39,39.99,13,HE ACC ROSEWILL | RHSP-13006 RT    ,Rosewill RHSP-13006 Premium 4320 Joules Rotating outlet Power Surge Protector with RJ11 and Coax Protection (Black)                                                                                                                             ,"RJ11 and Coax Protection   4320 Joules / 58dB  UL 1449 330V  3-Line (L-N, L-G, N-G)   12 Outlets(8 rotatable)                                                                                           ",Normal Item,Home Electronics Accessories                                ,495,Rosewill                                ,2177,RHSP-13006          ,898745069877,12.8,7.35,2.25,2.39,32.512,18.669,5.715,1.08408488,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",44,Standard Return Policy,30,30,365,365,495,Home Electronics Accessories,Edna.W.Tsung        ,Edna.W.Tsung        ,S,,,b60_surge-suppressors
"Rosewill RHSP-13008 - 8 Outlets Surge Protector, 2 USB Charging Ports, LED Indicators, 2160 Joules, Green, Protected and Grounded                                                                                                               ",,,,Rosewill                                ,RHSP-13008          ,12-119-567               ,2.03,39.99,15,POWER SURGE ROSEWILL RHSP-13008 R  ,"Rosewill RHSP-13008 - Surge Protector - 8 Outlets, 2 USB Charge Ports, LED Indicators, 2160 Joules, Green, Protected and Grounded                                                                                                               ",8 Outlets  2 USB Charge Ports  LED Indicators  2160 Joules  Protected and Grounded                                                                                                                      ,Normal Item,Surge Suppressors                                           ,535,Rosewill                                ,2177,RHSP-13008          ,898745069921,13.15,8.05,1.75,2.03,33.401,20.447,4.445,0.92079176,N,CHN,http://www.rosewill.com/products/2744/ProductDetail_Overview.htm                                                                                                                                        ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",44,Standard Return Policy,30,30,365,365,535,Surge Suppressors,Daniel.J.Cheung     ,Jaylun.J.Wang       ,S,,,b60_surge-suppressors
"Rosewill RHSP-13009 - 6 Outlet Rotating Power Surge Strip - 180-Degree Rotating, 2-in-1 Power and Circuit Breaker Switch, LED Indicators, 1400 Joules, Protected and Grounded                                                        ",,,,Rosewill                                ,RHSP-13009          ,12-119-568               ,1.5,24.99,11,POWER SURGE ROSEWILL RHSP-13009 R  ,"Rosewill RHSP-13009 - Rotating Power Surge Strip - 6 Outlets and 180-Degree Rotating, 2-in-1 Power and Circuit Breaker Switch, LED Indicators, 1400 Joules, Surge Protected and Grounded                                                        ","6 Outlets   180-Degree Rotating, 2-in-1 Power and Circuit Breaker Switch   LED Indicators,   1400 Joules Protection  Surge Protected and Grounded                                                       ",Normal Item,Surge Suppressors                                           ,535,Rosewill                                ,2177,RHSP-13009          ,898745069938,16.6,4.5,2.5,1.5,42.164,11.43,6.35,0.680388,N,CHN,http://www.rosewill.com/products/2746/ProductDetail_Overview.htm                                                                                                                                        ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",44,Standard Return Policy,30,30,365,365,535,Surge Suppressors,Daniel.J.Cheung     ,Jaylun.J.Wang       ,S,,,b60_surge-suppressors
Rosewill R4U-13001-BK - 5-Foot Charge / Sync USB-to-Micro-USB Cable - Pure Copper with LED Charge Indicator                                                                                                                                     ,,,,Rosewill                                ,R4U-13001-BK        ,12-119-569               ,0.14,7.99,3,CABLE USB ROSEWILL R4U-13001-BK R  ,Rosewill R4U-13001-BK - 5-Foot Charge / Sync USB-to-Micro-USB Cable - Pure Copper with LED Charge Indicator                                                                                                                                     ,Charge / Sync USB-to-Micro-USB (Male to Male) Cable  Pure Copper   LED Charge Indicator  5-Foot Cable                                                                                                   ,Normal Item,Cables - USB Cables                                         ,2838,Rosewill                                ,2177,R4U-13001-BK        ,898745071474,5.9,3.7,0.9,0.14,14.99,9.4,2.29,0.0635,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",59,Computer Cables and Accessories Extended Return Policy,45,365,365,365,2840,Cables - USB Cables                                         ,Howard.C.Lin        ,Melissa.J.Huang     ,S,,,b30_cables-usb-cables
Rosewill R4U-13011-BK - 3-Foot Black Charge / Sync USB-to-Micro-USB Cable - Pure Copper with 6 LED Charge Indicators                                                                                                                            ,,,,Rosewill                                ,R4U-13011-BK        ,12-119-570               ,0.09,19.99,10,CABLE ROSEWILL| R4U-13011-BK R     ,Rosewill R4U-13011-BK - 3-Foot Black Charge / Sync USB-to-Micro-USB Cable - Pure Copper with 6 LED Charge Indicators                                                                                                                            ,Charge / Sync USB-to-Micro-USB Cable   6 LED Charge Indicators  Pure Copper   3-Foot Cable  Black                                                                                                       ,Normal Item,Cables - USB Cables                                         ,2838,Rosewill                                ,2177,R4U-13011-BK        ,898745072075,5.8,3.65,0.9,0.09,14.73,9.27,2.29,0.0408,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",59,Computer Cables and Accessories Extended Return Policy,45,365,365,365,2840,Cables - USB Cables                                         ,Howard.C.Lin        ,Melissa.J.Huang     ,S,,,b30_cables-usb-cables
"Rosewill RPS-110BL - 6-Outlet Power Strip - Black, 125V Input Voltage, 1875W Maximum Power, 3-Foot Cord                                                                                                                                         ",,,,Rosewill                                ,RPS-110BL           ,12-119-571               ,0.62,9.99,2,POWER STRIP ROSEWILL| RPS-110BL R  ,"Rosewill RPS-110BL - 6-Outlet Power Strip - Black, 125V Input Voltage, 1875W Maximum Power, 3-Foot Cord                                                                                                                                         ","6-Outlet Power Strip   125V Input Voltage, 1875W Maximum Power   3 Feet Cord Length  Black                                                                                                              ",Normal Item,Power Strips - Inverters and Converters                     ,350,Rosewill                                ,2177,RPS-110BL           ,898745072471,11.3,4.95,1.4,0.62,28.702,12.573,3.556,0.28122704,N,CHN,http://www.rosewill.com/products/2673/ProductDetail_Overview.htm                                                                                                                                        ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",44,Standard Return Policy,30,30,365,365,350,Power Strips - Inverters and Converters,Daniel.J.Cheung     ,Jaylun.J.Wang       ,S,,,b60_surge-suppressors
"Rosewill RPS-210BL - 6-Outlet Power Strip - Black, 125V Input Voltage, 1875W Maximum Power, 6-Foot Cord                                                                                                                                         ",,,,Rosewill                                ,RPS-210BL           ,12-119-572               ,1.38,14.99,5,POWER STRIP ROSEWILL| RPS-210BL R  ,"Rosewill RPS-210BL - 6-Outlet Power Strip - Black, 125V Input Voltage, 1875W Maximum Power, 6-Foot Cord                                                                                                                                         ","6-Outlet Power Strip   125V Input Voltage, 1875W Maximum Power  6 Feet Cord Length  Black                                                                                                               ",Normal Item,Power Strips - Inverters and Converters                     ,350,Rosewill                                ,2177,RPS-210BL           ,898745072488,14.8,5.2,2.2,1.38,37.592,13.208,5.588,0.62595696,N,CHN,http://www.rosewill.com/products/2674/ProductDetail_Overview.htm                                                                                                                                        ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",44,Standard Return Policy,30,30,365,365,350,Power Strips - Inverters and Converters,Daniel.J.Cheung     ,Jaylun.J.Wang       ,S,,,b60_surge-suppressors
"Rosewill RCDC-14001 - 3-Foot White DisplayPort Cable - 28 AWG, High Bit-Rate, Male to Male                                                                                                                                                      ",,,,Rosewill                                ,RCDC-14001          ,12-119-573               ,0.18,6.99,3,CABLE ROSEWILL| RCDC-14001 R       ,"Rosewill RCDC-14001 - 3-Foot White DisplayPort Cable - 28 AWG, High Bit-Rate, Male to Male                                                                                                                                                      ",Male to Male DisplayPort  28 AWG Cable  High Bit-Rate   3 Feet Long  White                                                                                                                              ,Normal Item,Cables - DisplayPort Cables                                 ,2811,Rosewill                                ,2177,RCDC-14001          ,898745072785,9.1,6.45,0.9,0.18,23.11,16.38,2.29,0.0816,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",59,Computer Cables and Accessories Extended Return Policy,45,365,365,365,2813,Cables - DisplayPort Cables                                 ,Howard.C.Lin        ,Melissa.J.Huang     ,S,,,b12_cables-displayport-cables
"Rosewill RCDC-14002 - 6-Foot White DisplayPort Cable - 28 AWG, High Bit-Rate, Male to Male                                                                                                                                                      ",,,,Rosewill                                ,RCDC-14002          ,12-119-574               ,0.3,8.99,4,CABLE ROSEWILL| RCDC-14002 R       ,"Rosewill RCDC-14002 - 6-Foot White DisplayPort Cable - 28 AWG, High Bit-Rate, Male to Male                                                                                                                                                      ",Male to Male DisplayPort Cable   28 AWG  High Bit-Rate  6 Feet Long   White                                                                                                                             ,Normal Item,Cables - DisplayPort Cables                                 ,2811,Rosewill                                ,2177,RCDC-14002          ,898745072792,8.95,6.45,0.9,0.3,22.73,16.38,2.29,0.1361,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",59,Computer Cables and Accessories Extended Return Policy,45,365,365,365,2813,Cables - DisplayPort Cables                                 ,Howard.C.Lin        ,Melissa.J.Huang     ,S,,,b12_cables-displayport-cables
"Rosewill RCDC-14003 - 10-Foot White DisplayPort Cable - 28 AWG, High Bit-Rate, Male to Male                                                                                                                                                     ",,,,Rosewill                                ,RCDC-14003          ,12-119-575               ,0.47,11.99,3,CABLE ROSEWILL| RCDC-14003 R       ,"Rosewill RCDC-14003 - 10-Foot White DisplayPort Cable - 28 AWG, High Bit-Rate, Male to Male                                                                                                                                                     ",Male to Male DisplayPort Cable   High Bit-Rate  28 AWG  10 Feet Long  White                                                                                                                             ,Normal Item,Cables - DisplayPort Cables                                 ,2811,Rosewill                                ,2177,RCDC-14003          ,898745072808,10.2,7.8,0.9,0.47,25.91,19.81,2.29,0.2132,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",59,Computer Cables and Accessories Extended Return Policy,45,365,365,365,2813,Cables - DisplayPort Cables                                 ,Howard.C.Lin        ,Melissa.J.Huang     ,S,,,b12_cables-displayport-cables
"Rosewill RCDC-14004 - 15-Foot White DisplayPort Cable - 28 AWG, High Bit-Rate, Male to Male                                                                                                                                                     ",,,,Rosewill                                ,RCDC-14004          ,12-119-576               ,0.66,13.99,5,CABLE ROSEWILL| RCDC-14004 R       ,"Rosewill RCDC-14004 - 15-Foot White DisplayPort Cable - 28 AWG, High Bit-Rate, Male to Male                                                                                                                                                     ","Male to Male DisplayPort Cable  28 AWG,   High Bit-Rate   15 Feet Long  White                                                                                                                           ",Normal Item,Cables - DisplayPort Cables                                 ,2811,Rosewill                                ,2177,RCDC-14004          ,898745072815,8,6.8,0.9,0.66,20.32,17.27,2.29,0.2994,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",59,Computer Cables and Accessories Extended Return Policy,45,365,365,365,2813,Cables - DisplayPort Cables                                 ,Howard.C.Lin        ,Melissa.J.Huang     ,S,,,b12_cables-displayport-cables
"Rosewill RCDC-14005 - 3-Foot White DisplayPort to DVI Cable - 28 AWG, Male to Male                                                                                                                                                              ",,,,Rosewill                                ,RCDC-14005          ,12-119-577               ,0.24,7.99,1,CABLE ROSEWILL| RCDC-14005 R       ,"Rosewill RCDC-14005 - 3-Foot White DisplayPort to DVI Cable - 28 AWG, Male to Male                                                                                                                                                              ",Male to Male DisplayPort to DVI Cable    28 AWG   3 Feet Long  White                                                                                                                                    ,Normal Item,Cables - DisplayPort Cables                                 ,2811,Rosewill                                ,2177,RCDC-14005          ,898745072822,6.45,5.95,0.9,0.24,16.38,15.11,2.29,0.1089,N,CHN,http://www.rosewill.com                                                                                                                                                                                 ,N,N,,"(101) The products listed on this page contains chemicals known to the State of California to cause cancer, or birth defects or other reproductive harm.",59,Computer Cables and Accessories Extended Return Policy,45,365,365,365,2813,Cables - DisplayPort Cables                                 ,Howard.C.Lin        ,Melissa.J.Huang     ,S,,,b12_cables-displayport-cables
